iter	Passed	Remaining
239	346	1097
240	347	1093
241	347	1089
242	348	1085
243	348	1081
244	349	1077
245	350	1073
246	350	1069
247	351	1065
248	351	1061
249	352	1057
250	353	1053
251	353	1049
252	354	1046
253	354	1042
254	355	1038
255	356	1034
256	356	1031
257	357	1027
258	357	1024
259	358	1021
260	359	1018
261	360	1016
262	361	1013
263	362	1010
264	362	1006
265	363	1003
266	364	999
267	364	996
268	365	993
269	366	990
270	367	987
271	367	984
272	368	981
273	369	977
274	369	975
275	371	973
276	371	970
277	372	968
278	374	967
279	375	966
280	377	966
281	379	965
282	381	965
283	382	963
284	383	961
285	384	959
286	385	957
287	386	955
288	387	954
289	391	959
290	393	958
291	394	956
292	395	954
293	396	953
294	398	952
295	400	951
296	401	949
297	402	948
298	404	948
299	405	947
300	407	946
301	408	945
302	410	943
303	411	941
304	412	939
305	413	938
306	415	937
307	416	936
308	418	934
309	420	935
310	422	935
311	423	933
312	424	931
313	426	930
314	427	929
315	428	927
316	429	925
317	430	923
318	431	921
319	433	920
320	436	922
321	437	921
322	438	920
323	440	918
324	441	917
325	442	915
326	444	914
327	445	912
328	446	911
329	448	909
330	464	938
331	465	935
332	465	933
333	466	930
334	467	927
335	468	925
336	468	922
337	469	919
338	470	917
339	470	914
340	471	911
341	472	908
342	472	905
343	473	903
344	474	900
345	474	897
346	475	895
347	476	892
348	477	889
349	477	887
350	478	884
351	478	881
352	479	878
353	480	876
354	481	874
355	482	872
356	482	869
357	483	867
358	484	864
359	484	862
360	485	859
361	486	856
362	486	854
363	487	851
364	488	849
365	488	846
366	489	843
367	489	841
368	490	838
369	491	836
370	491	833
371	492	831
372	493	828
373	493	826
374	494	823
375	494	821
376	496	819
377	496	817
378	497	815
379	498	812
380	498	810
381	499	807
382	499	805
383	500	803
384	501	800
385	501	798
386	502	795
387	502	793
388	503	790
389	504	788
390	505	786
391	506	785
392	507	784
393	508	782
394	509	780
395	510	778
396	511	776
397	512	774
398	513	772
399	513	770
400	514	768
401	515	766
402	515	764
403	516	762
404	517	760
405	518	758
406	518	756
407	519	754
408	520	751
409	521	749
410	521	747
411	522	745
412	522	743
413	523	740
414	524	738
415	524	736
416	525	735
417	526	733
418	527	731
419	528	729
420	528	727
421	529	724
422	529	722
423	530	720
424	531	718
425	531	716
426	532	714
427	532	712
428	533	710
429	534	708
430	535	706
431	535	704
432	536	702
433	536	699
434	537	697
435	537	695
436	538	693
437	538	691
438	539	689
439	540	688
440	541	686
441	541	684
442	542	682
443	543	680
444	543	678
445	544	676
446	544	674
447	545	672
448	545	669
449	546	667
450	547	665
451	547	663
452	548	661
453	548	659
454	549	657
455	549	655
456	550	653
457	550	651
458	551	649
459	552	648
460	552	646
461	553	644
462	553	642
463	554	640
464	555	638
465	555	637
466	556	635
467	557	633
468	557	631
469	558	629
470	558	627
471	559	625
472	559	623
473	560	622
474	561	620
475	562	619
476	563	617
477	564	616
478	564	614
479	565	612
480	565	610
481	566	608
482	566	606
483	567	605
484	568	603
485	568	601
486	569	599
